NAME_ENGL,name,val,x,y
Belarus,Goal,23.423529411764697,3,3
Belarus,Goal,29.6235294117647,4,3
Belarus,Goal,23.423529411764697,5,3
Belarus,Goal,29.6235294117647,6,3
Belarus,Goal,29.6235294117647,7,3
Belarus,Goal,29.823529411764703,8,3
Belarus,Goal,23.423529411764697,9,3
Belarus,Goal,29.6235294117647,10,3
Belarus,Goal,17.3235294117647,11,3
Belarus,Goal,33.8235294117647,12,3
Belarus,Goal,29.6235294117647,13,3
Belarus,Goal,29.823529411764703,14,3
Belarus,Goal,17.3235294117647,15,3
Belgium,Goal,29.0235294117647,1,3
Belgium,Goal,29.156862745098035,2,3
Belgium,Goal,29.0235294117647,3,3
Belgium,Goal,33.2235294117647,4,3
Belgium,Goal,29.156862745098035,5,3
Belgium,Goal,29.0235294117647,6,3
Belgium,Goal,29.156862745098035,7,3
Belgium,Goal,33.2235294117647,8,3
Belgium,Goal,33.2235294117647,9,3
Belgium,Goal,29.0235294117647,10,3
Belgium,Goal,33.2235294117647,11,3
Belgium,Goal,25.3235294117647,12,3
Belgium,Goal,25.3235294117647,13,3
Belgium,Goal,29.0235294117647,14,3
Belgium,Goal,33.2235294117647,15,3
Belize,Goal,31.6235294117647,1,3
Belize,Goal,34.3235294117647,2,3
Belize,Goal,31.6235294117647,3,3
Belize,Goal,31.6235294117647,4,3
Belize,Goal,38.32352941176471,5,3
Belize,Goal,30.823529411764703,6,3
Belize,Goal,31.6235294117647,7,3
Belize,Goal,31.6235294117647,8,3
Belize,Goal,38.32352941176471,9,3
Belize,Goal,25.8235294117647,10,3
Belize,Goal,25.8235294117647,11,3
Belize,Goal,25.8235294117647,12,3
Belize,Goal,34.3235294117647,13,3
Belize,Goal,30.823529411764703,14,3
Belize,Goal,25.8235294117647,15,3
Benin,Goal,31.4235294117647,1,3
Benin,Goal,20.15686274509803,2,3
Benin,Goal,31.4235294117647,3,3
Benin,Goal,39.15686274509804,4,3
Benin,Goal,39.15686274509804,5,3
Benin,Goal,39.15686274509804,6,3
Benin,Goal,31.4235294117647,7,3
Benin,Goal,35.15686274509804,8,3
Benin,Goal,20.15686274509803,9,3
Benin,Goal,35.15686274509804,10,3
Benin,Goal,31.4235294117647,11,3
Benin,Goal,47.8235294117647,12,3
Benin,Goal,35.15686274509804,13,3
Benin,Goal,20.15686274509803,14,3
Benin,Goal,31.4235294117647,15,3
Bermuda,Goal,28.5735294117647,1,3
Bermuda,Goal,28.5735294117647,2,3
Bermuda,Goal,26.4235294117647,3,3
Bermuda,Goal,34.82352941176471,4,3
Bermuda,Goal,29.823529411764703,5,3
Bermuda,Goal,29.823529411764703,6,3
Bermuda,Goal,24.8235294117647,7,3
Bermuda,Goal,29.823529411764703,8,3
Bermuda,Goal,24.8235294117647,9,3
Bermuda,Goal,26.4235294117647,10,3
Bermuda,Goal,26.4235294117647,11,3
Bermuda,Goal,26.4235294117647,12,3
Bermuda,Goal,26.4235294117647,13,3
Bermuda,Goal,28.5735294117647,14,3
Bermuda,Goal,28.5735294117647,15,3
Bhutan,Goal,41.8235294117647,1,3
Bhutan,Goal,27.023529411764702,2,3
Bhutan,Goal,27.023529411764702,3,3
Bhutan,Goal,29.6235294117647,4,3
Bhutan,Goal,19.8235294117647,5,3
Bhutan,Goal,27.023529411764702,6,3
Bhutan,Goal,19.8235294117647,7,3
Bhutan,Goal,29.6235294117647,8,3
Bhutan,Goal,29.6235294117647,9,3
Bhutan,Goal,27.023529411764702,10,3
Bhutan,Goal,19.8235294117647,11,3
Bhutan,Goal,29.6235294117647,12,3
Bhutan,Goal,19.8235294117647,13,3
Bhutan,Goal,29.6235294117647,14,3
Bhutan,Goal,27.023529411764702,15,3
Bolivia,Goal,28.323529411764703,1,3
Bolivia,Goal,32.6235294117647,2,3
Bolivia,Goal,28.323529411764703,3,3
Bolivia,Goal,32.6235294117647,4,3
Bolivia,Goal,24.323529411764703,5,3
Bolivia,Goal,24.323529411764703,6,3
Bolivia,Goal,32.6235294117647,7,3
Bolivia,Goal,24.323529411764703,8,3
Bolivia,Goal,21.8235294117647,9,3
Bolivia,Goal,24.323529411764703,10,3
Bolivia,Goal,32.6235294117647,11,3
Bolivia,Goal,21.8235294117647,12,3
Bolivia,Goal,21.3235294117647,13,3
Bolivia,Goal,32.6235294117647,14,3
Bolivia,Goal,21.3235294117647,15,3
"Bonaire, Sint Eustatius and Saba",Goal,35.3235294117647,1,3
"Bonaire, Sint Eustatius and Saba",Goal,35.3235294117647,2,3
"Bonaire, Sint Eustatius and Saba",Goal,27.156862745098035,3,3
"Bonaire, Sint Eustatius and Saba",Goal,27.156862745098035,4,3
"Bonaire, Sint Eustatius and Saba",Goal,32.15686274509803,5,3
"Bonaire, Sint Eustatius and Saba",Goal,29.656862745098035,6,3
"Bonaire, Sint Eustatius and Saba",Goal,29.656862745098035,7,3
"Bonaire, Sint Eustatius and Saba",Goal,29.656862745098035,8,3
"Bonaire, Sint Eustatius and Saba",Goal,32.15686274509803,9,3
"Bonaire, Sint Eustatius and Saba",Goal,31.8235294117647,10,3
"Bonaire, Sint Eustatius and Saba",Goal,29.656862745098035,11,3
"Bonaire, Sint Eustatius and Saba",Goal,29.656862745098035,12,3
"Bonaire, Sint Eustatius and Saba",Goal,29.656862745098035,13,3
"Bonaire, Sint Eustatius and Saba",Goal,27.156862745098035,14,3
"Bonaire, Sint Eustatius and Saba",Goal,32.15686274509803,15,3
Bosnia and Herzegovina,Goal,37.323529411764696,1,3
Bosnia and Herzegovina,Goal,29.8235294117647,2,3
Bosnia and Herzegovina,Goal,29.8235294117647,3,3
Bosnia and Herzegovina,Goal,31.823529411764696,4,3
Bosnia and Herzegovina,Goal,25.0235294117647,5,3
Bosnia and Herzegovina,Goal,37.323529411764696,6,3
Bosnia and Herzegovina,Goal,25.0235294117647,7,3
Bosnia and Herzegovina,Goal,29.8235294117647,8,3
Bosnia and Herzegovina,Goal,25.0235294117647,9,3
Bosnia and Herzegovina,Goal,25.0235294117647,10,3
Bosnia and Herzegovina,Goal,7.8235294117647,11,3
Bosnia and Herzegovina,Goal,29.8235294117647,12,3
Bosnia and Herzegovina,Goal,25.0235294117647,13,3
Bosnia and Herzegovina,Goal,29.8235294117647,14,3
Bosnia and Herzegovina,Goal,29.8235294117647,15,3
Botswana,Goal,31.490196078431367,1,3
Botswana,Goal,31.490196078431367,2,3
Botswana,Goal,18.5735294117647,3,3
Botswana,Goal,20.8235294117647,4,3
Botswana,Goal,35.5735294117647,5,3
Botswana,Goal,35.5735294117647,6,3
Botswana,Goal,35.5735294117647,7,3
Botswana,Goal,18.5735294117647,8,3
Botswana,Goal,18.5735294117647,9,3
Botswana,Goal,40.8235294117647,10,3
Botswana,Goal,31.490196078431367,11,3
Botswana,Goal,20.8235294117647,12,3
Botswana,Goal,35.5735294117647,13,3
Botswana,Goal,18.5735294117647,14,3
Botswana,Goal,20.8235294117647,15,3
Bouvet Island,Goal,28.156862745098035,1,3
Bouvet Island,Goal,27.573529411764703,2,3
Bouvet Island,Goal,27.573529411764703,3,3
Bouvet Island,Goal,26.823529411764696,4,3
Bouvet Island,Goal,27.573529411764703,5,3
Bouvet Island,Goal,27.573529411764703,6,3
Bouvet Island,Goal,28.156862745098035,7,3
Bouvet Island,Goal,6.8235294117647,8,3
Bouvet Island,Goal,27.573529411764703,9,3
Bouvet Island,Goal,26.823529411764696,10,3
Bouvet Island,Goal,27.573529411764703,11,3
Bouvet Island,Goal,28.156862745098035,12,3
Bouvet Island,Goal,28.8235294117647,13,3
Bouvet Island,Goal,27.573529411764703,14,3
Bouvet Island,Goal,27.573529411764703,15,3
Brazil,Goal,31.823529411764703,1,3
Brazil,Goal,32.15686274509804,2,3
Brazil,Goal,44.8235294117647,3,3
Brazil,Goal,18.823529411764703,4,3
Brazil,Goal,30.323529411764703,5,3
Brazil,Goal,30.323529411764703,6,3
Brazil,Goal,32.15686274509804,7,3
Brazil,Goal,31.823529411764703,8,3
Brazil,Goal,32.15686274509804,9,3
Brazil,Goal,44.8235294117647,10,3
Brazil,Goal,32.15686274509804,11,3
Brazil,Goal,32.15686274509804,12,3
Brazil,Goal,18.823529411764703,13,3
Brazil,Goal,32.15686274509804,14,3
Brazil,Goal,18.823529411764703,15,3
Brunei,Goal,32.37908496732025,1,3
Brunei,Goal,24.823529411764703,2,3
Brunei,Goal,24.823529411764703,3,3
Brunei,Goal,24.823529411764703,4,3
Brunei,Goal,32.37908496732025,5,3
